spp,mn_length,LL_shallow,PS_assoc
ALV,0,0,0
ALV,2,0,0
ALV,6,0,0
ALV,10,0,0
ALV,14,0,0
ALV,18,0,0
ALV,22,0,0
ALV,26,0,0
ALV,30,0,0
ALV,34,0,0
ALV,38,0,0
ALV,42,0,0
ALV,46,0,0
ALV,50,0,0
ALV,54,0,0
ALV,58,0,1
ALV,62,0,1
ALV,66,0,1
ALV,70,0,1
ALV,74,0,1
ALV,78,0,1
ALV,82,1,1
ALV,86,1,1
ALV,90,1,1
ALV,94,1,1
ALV,98,1,1
ALV,102,1,1
ALV,106,1,1
ALV,110,1,1
ALV,114,1,1
ALV,118,1,1
ALV,122,1,1
ALV,126,1,1
ALV,130,1,1
ALV,134,1,1
ALV,138,1,1
ALV,142,1,1
ALV,146,1,1
ALV,150,1,1
ALV,154,1,1
ALV,158,1,1
ALV,162,1,1
ALV,166,1,1
ALV,170,1,1
ALV,174,1,1
ALV,178,1,1
ALV,182,1,1
ALV,186,1,1
ALV,190,1,1
ALV,194,1,1
ALV,198,0,1
ALV,202,0,1
ALV,206,0,1
ALV,210,0,1
ALV,214,0,1
ALV,218,0,1
ALV,222,0,1
ALV,226,0,1
ALV,230,0,1
ALV,234,0,1
ALV,238,0,1
ALV,242,0,1
OCS,0,0,0
OCS,2,0,0
OCS,6,0,0
OCS,10,0,0
OCS,14,0,0
OCS,18,0.005623022,0
OCS,22,0.00868175,0
OCS,26,0.00868175,0
OCS,30,0.00868175,0
OCS,34,0.00868175,0
OCS,38,0.00868175,0
OCS,42,0.00868175,0
OCS,46,0.00868175,0
OCS,50,0.00868175,0
OCS,54,0.00868175,0.014554715
OCS,58,0.00868175,0.036020988
OCS,62,0.00868175,0.061477211
OCS,66,0.00868175,0.090792085
OCS,70,0.008883784,0.123834315
OCS,74,0.012231232,0.160472603
OCS,78,0.019625091,0.200575652
OCS,82,0.031966354,0.244012165
OCS,86,0.050156016,0.290650845
OCS,90,0.075095071,0.340360395
OCS,94,0.107684515,0.393009517
OCS,98,0.148825341,0.448466915
OCS,102,0.199400852,0.506594036
OCS,106,0.259232795,0.566816936
OCS,110,0.32649751,0.627886818
OCS,114,0.399229797,0.688496835
OCS,118,0.475464455,0.747340138
OCS,122,0.553236282,0.803109879
OCS,126,0.630580079,0.854499209
OCS,130,0.705530643,0.900201279
OCS,134,0.776122774,0.938909242
OCS,138,0.840391272,0.969316248
OCS,142,0.896370935,0.990115451
OCS,146,0.942096562,1
OCS,150,0.975602953,0.997663048
OCS,154,0.99499538,0.981863112
OCS,158,1,0.952862108
OCS,162,0.991963853,0.912425356
OCS,166,0.972304453,0.862383537
OCS,170,0.942439315,0.804567337
OCS,174,0.903785952,0.740807437
OCS,178,0.857761878,0.672934521
OCS,182,0.805784607,0.602779272
OCS,186,0.749271653,0.532172374
OCS,190,0.689640531,0.462944509
OCS,194,0.628308753,0.396926362
OCS,198,0.566693835,0.335948615
OCS,202,0.506213289,0.281841952
OCS,206,0.448217859,0.236301582
OCS,210,0.393282068,0.199447845
OCS,214,0.341479651,0.170385032
OCS,218,0.292876001,0.148200501
OCS,222,0.247536506,0.131981611
OCS,226,0.205526557,0.120815718
OCS,230,0.166911544,0.11379018
OCS,234,0.131756858,0.109992356
OCS,238,0.100127888,0.108509603
OCS,242,0.072090025,0.10842928
OCS,246,0.047708659,0.10842928
OCS,250,0.02704918,0.10842928
OCS,254,0.010176978,0.107476462
OCS,258,0,0.103985497
OCS,262,0,0.098250994
OCS,266,0,0.090459137
OCS,270,0,0.080796958
OCS,274,0,0.06945149
OCS,278,0,0.056609763
OCS,282,0,0.042458811
OCS,286,0,0.027185666
OCS,290,0,0.01097736
OCS,294,0,0
OCS,298,0,0
OCS,302,0,0
OCS,306,0,0
